Random, 3 2 1 3 1 1 2 1 3 2 3 3 4 2;
Major/Minor, 2 3 2 3 1 2 2 2 3 1 3 2 0 0;
Pythagorean, 0;
Nature-scale, 3 1 1 2 2 3 3 3 2 2 3 1 0 8;
Balladetone, 2 1 1 3 1 2 1 2 1 1 3 2 0 2;
"Gjendines Bånlåt", 2 2 2 3 2 3 1 2 2 2 3 3 0 7;
"Liti Kjersti", 2 1 1 1 1 2 2 2 1 1 1 2 4 4 0;
Grisilla, 2 2 2 1 1 2 2 2 1 2 2 2 0 0;
Rullemann, 2 2 2 1 2 1 2 2 2 2 1 2 0 0;
Draumkvede, 2 3 1 3 1 2 1 1 3 1 3 1 0 0;
Seljefløytetone, 2 1 2 1 1 2 2 2 1 3 2 2 0 4;
Balladetone2, 3 1 1 3 1 3 1 3 1 1 3 2 0 2;
"Kivlemøyane (E)", 1 2 2 1 2 1 2 1 2 2 1 3 9 4 0;
"Kivlemøyane (F)", 2 1 1 2 1 2 1 1 1 1 2 1 0 5;
